pw,COUNT(x3)
21,22
23,22
4,22
6,22
16,23
25,23
14,24
15,24
17,24
2,24
20,24
24,24
3,24
5,24
1,25
10,25
12,25
13,25
19,25
22,25
11,26
18,26
8,26
9,26
7,27

