,pw,x1,x2,x3
0,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
1,1,c1948_A_capillipes,c1950_A_capillipes,"""="""
2,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
3,1,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
4,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
5,1,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
6,1,c1948_A_virginicus,c1950_Andropogon,"""<"""
7,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
8,1,c1948_A_capillipes,c1950_Andropogon,"""<"""
9,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
10,1,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
11,1,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
12,1,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
13,1,c1948_Andropogon,c1950_A_capillipes,""">"""
14,1,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
15,1,c1948_Andropogon,c1950_A_virginicus,""">"""
16,1,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
17,1,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
18,1,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
19,1,c1948_A_virginicus,c1950_A_virginicus,"""><"""
20,1,c1948_Andropogon,c1950_Andropogon,"""><"""
21,1,c1948_Andropogon,c1950_A_glomeratus,"""><"""
22,1,c1948_A_glomeratus,c1950_Andropogon,"""><"""
23,1,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
24,1,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
25,1,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
26,1,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
27,1,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
28,1,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
29,1,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
30,1,c1948_A_capillipes,c1950_A_virginicus,"""!"""
31,1,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
32,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
33,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
34,1,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
35,1,c1948_A_virginicus,c1950_A_capillipes,"""!"""
36,1,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
37,1,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
38,1,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
39,1,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
40,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
41,1,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
42,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
43,1,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
44,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
45,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
46,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
47,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
48,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
49,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
50,2,c1948_A_capillipes,c1950_A_capillipes,"""="""
51,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
52,2,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
53,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
54,2,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
55,2,c1948_A_virginicus,c1950_Andropogon,"""<"""
