,pw,x1,x2,x3
73,2,c1948_A_glomeratus,c1950_A_capillipes,"""><"""
74,2,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
75,2,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
76,2,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
77,2,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
78,2,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
79,2,c1948_A_capillipes,c1950_A_virginicus,"""!"""
80,2,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
81,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
82,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
83,2,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
84,2,c1948_A_virginicus,c1950_A_capillipes,"""!"""
85,2,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
86,2,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
87,2,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
88,2,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
89,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
90,2,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
91,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
92,2,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
93,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
94,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
95,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
96,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
97,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
98,3,c1948_Andropogon,c1950_Andropogon,"""="""
99,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
