,pw,x1,x2,x3
0,1,c1948_Andropogon,c1950_Andropogon,"""="""
1,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
2,1,c1948_A_capillipes,c1950_A_capillipes,"""="""
3,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
4,1,c1948_A_glomeratus,c1950_Andropogon,"""<"""
5,1,c1948_A_glomeratus,c1950_A_glomeratus,"""<"""
6,1,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
7,1,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
8,1,c1948_A_virginicus,c1950_Andropogon,"""<"""
9,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
10,1,c1948_A_capillipes,c1950_Andropogon,"""<"""
11,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
12,1,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
13,1,c1948_A_virginicus,c1950_A_virginicus,""">"""
14,1,c1948_Andropogon,c1950_A_glomeratus,""">"""
15,1,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
16,1,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
17,1,c1948_Andropogon,c1950_A_capillipes,""">"""
18,1,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
19,1,c1948_Andropogon,c1950_A_virginicus,""">"""
20,1,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
21,1,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,""">"""
22,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,""">"""
23,1,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
24,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""><"""
25,1,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
26,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""><"""
27,1,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,"""!"""
28,1,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
29,1,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
30,1,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
31,1,c1948_A_glomeratus,c1950_A_virginicus,"""!"""
32,1,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
33,1,c1948_A_capillipes,c1950_A_virginicus,"""!"""
34,1,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
35,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
36,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
37,1,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
38,1,c1948_A_virginicus,c1950_A_capillipes,"""!"""
39,1,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
40,1,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
41,1,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
42,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
43,1,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
44,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
45,1,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
46,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
47,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
48,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
49,2,c1948_A_virginicus,c1950_A_virginicus,"""="""
50,2,c1948_Andropogon,c1950_Andropogon,"""="""
51,2,c1948_A_glomeratus,c1950_A_glomeratus,"""="""
52,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""="""
53,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
54,2,c1948_A_capillipes,c1950_A_capillipes,"""="""
55,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
56,2,c1948_A_glomeratus,c1950_Andropogon,"""<"""
57,2,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
58,2,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
59,2,c1948_A_virginicus,c1950_Andropogon,"""<"""
60,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
61,2,c1948_A_capillipes,c1950_Andropogon,"""<"""
62,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
63,2,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
64,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""<"""
65,2,c1948_Andropogon,c1950_A_glomeratus,""">"""
66,2,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
67,2,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
68,2,c1948_Andropogon,c1950_A_capillipes,""">"""
69,2,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
70,2,c1948_Andropogon,c1950_A_virginicus,""">"""
71,2,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
72,2,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,""">"""
73,2,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
74,2,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,"""!"""
75,2,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
76,2,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
77,2,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
78,2,c1948_A_glomeratus,c1950_A_virginicus,"""!"""
79,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
