,pw,x1,x2,x3
0,1,c1948_Andropogon,c1950_Andropogon,"""="""
1,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
2,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
3,1,c1948_A_glomeratus,c1950_Andropogon,"""<"""
4,1,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
5,1,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
6,1,c1948_A_virginicus,c1950_Andropogon,"""<"""
7,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
8,1,c1948_A_capillipes,c1950_Andropogon,"""<"""
9,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
10,1,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
11,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""<"""
12,1,c1948_Andropogon,c1950_A_glomeratus,""">"""
13,1,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
14,1,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
15,1,c1948_Andropogon,c1950_A_capillipes,""">"""
16,1,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
17,1,c1948_Andropogon,c1950_A_virginicus,""">"""
18,1,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
19,1,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
20,1,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
21,1,c1948_A_virginicus,c1950_A_virginicus,"""><"""
22,1,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
23,1,c1948_A_glomeratus,c1950_A_capillipes,"""><"""
24,1,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
25,1,c1948_A_virginicus,c1950_A_capillipes,"""><"""
26,1,c1948_A_capillipes,c1950_A_capillipes,"""><"""
27,1,c1948_A_capillipes,c1950_A_glomeratus,"""><"""
28,1,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
29,1,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
30,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
31,1,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
32,1,c1948_A_capillipes,c1950_A_virginicus,"""!"""
33,1,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
34,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
35,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
36,1,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
37,1,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
38,1,c1948_A_virginicus,c1950_A_glomeratus,"""!"""
39,1,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
40,1,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
41,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
42,1,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
43,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
44,1,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
45,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
46,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
47,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
48,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
49,2,c1948_Andropogon,c1950_Andropogon,"""="""
50,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
51,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
52,2,c1948_A_glomeratus,c1950_Andropogon,"""<"""
53,2,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
54,2,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
55,2,c1948_A_virginicus,c1950_Andropogon,"""<"""
56,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
57,2,c1948_A_capillipes,c1950_Andropogon,"""<"""
58,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
59,2,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
60,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""<"""
61,2,c1948_Andropogon,c1950_A_glomeratus,""">"""
62,2,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
63,2,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
64,2,c1948_Andropogon,c1950_A_capillipes,""">"""
65,2,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
66,2,c1948_Andropogon,c1950_A_virginicus,""">"""
67,2,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
68,2,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
69,2,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
70,2,c1948_A_virginicus,c1950_A_virginicus,"""><"""
71,2,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
72,2,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
73,2,c1948_A_virginicus,c1950_A_capillipes,"""><"""
74,2,c1948_A_capillipes,c1950_A_capillipes,"""><"""
75,2,c1948_A_capillipes,c1950_A_glomeratus,"""><"""
76,2,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
77,2,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
78,2,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
79,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""!"""
80,2,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
