pw,COUNT(x3)
2,1
25,1
1,3
21,3
24,3
10,4
17,4
6,4
19,5
22,5
14,6
16,6
20,6
23,6
5,6
9,6
4,7
8,7
13,9
15,9
18,9
3,9
7,9
12,10
11,12

