,pw,x1,x2,x3
0,1,c1948_Andropogon,c1950_Andropogon,"""="""
1,1,c1948_A_capillipes,c1950_A_capillipes,"""="""
2,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
3,1,c1948_A_glomeratus,c1950_Andropogon,"""<"""
4,1,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
5,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
6,1,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
7,1,c1948_A_virginicus,c1950_Andropogon,"""<"""
8,1,c1948_A_capillipes,c1950_Andropogon,"""<"""
9,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
10,1,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
11,1,c1948_Andropogon,c1950_A_glomeratus,""">"""
12,1,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
13,1,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
14,1,c1948_Andropogon,c1950_A_capillipes,""">"""
15,1,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
16,1,c1948_Andropogon,c1950_A_virginicus,""">"""
17,1,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
18,1,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
19,1,c1948_A_virginicus,c1950_A_virginicus,"""><"""
20,1,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
21,1,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""><"""
22,1,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
23,1,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""><"""
24,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
25,1,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
26,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""><"""
27,1,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
28,1,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
29,1,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
30,1,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
31,1,c1948_A_capillipes,c1950_A_virginicus,"""!"""
32,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
33,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
34,1,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
35,1,c1948_A_virginicus,c1950_A_capillipes,"""!"""
36,1,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
37,1,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
38,1,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
39,1,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
40,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
41,1,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
42,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
43,1,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
44,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
45,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
46,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
47,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
48,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
49,2,c1948_Andropogon,c1950_Andropogon,"""="""
50,2,c1948_A_capillipes,c1950_A_capillipes,"""="""
51,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
52,2,c1948_A_glomeratus,c1950_Andropogon,"""<"""
53,2,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
54,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
55,2,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
56,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""<"""
57,2,c1948_A_virginicus,c1950_Andropogon,"""<"""
58,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
59,2,c1948_A_capillipes,c1950_Andropogon,"""<"""
60,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
61,2,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
62,2,c1948_Andropogon,c1950_A_glomeratus,""">"""
63,2,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
64,2,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
65,2,c1948_Andropogon,c1950_A_capillipes,""">"""
66,2,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
67,2,c1948_Andropogon,c1950_A_virginicus,""">"""
68,2,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
69,2,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
70,2,c1948_A_virginicus,c1950_A_virginicus,"""><"""
71,2,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
72,2,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""><"""
73,2,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
74,2,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
75,2,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,"""><"""
76,2,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
77,2,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
78,2,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
79,2,c1948_A_capillipes,c1950_A_virginicus,"""!"""
80,2,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
81,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
82,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
83,2,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
84,2,c1948_A_virginicus,c1950_A_capillipes,"""!"""
85,2,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
86,2,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
87,2,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
88,2,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
89,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
90,2,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
91,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
92,2,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
93,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
94,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
95,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
96,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
97,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
98,3,c1948_Andropogon,c1950_Andropogon,"""="""
99,3,c1948_A_capillipes,c1950_A_capillipes,"""="""
100,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
101,3,c1948_A_glomeratus,c1950_Andropogon,"""<"""
102,3,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
103,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
104,3,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
105,3,c1948_A_virginicus,c1950_Andropogon,"""<"""
106,3,c1948_A_capillipes,c1950_Andropogon,"""<"""
107,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
108,3,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
109,3,c1948_Andropogon,c1950_A_glomeratus,""">"""
110,3,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
111,3,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
112,3,c1948_Andropogon,c1950_A_capillipes,""">"""
113,3,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
114,3,c1948_Andropogon,c1950_A_virginicus,""">"""
115,3,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
116,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,""">"""
117,3,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
118,3,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
119,3,c1948_A_virginicus,c1950_A_virginicus,"""><"""
120,3,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
121,3,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
122,3,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""><"""
123,3,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
124,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""><"""
125,3,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
126,3,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
127,3,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
128,3,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
129,3,c1948_A_capillipes,c1950_A_virginicus,"""!"""
130,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
131,3,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
132,3,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
133,3,c1948_A_virginicus,c1950_A_capillipes,"""!"""
134,3,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
135,3,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
136,3,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
137,3,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
138,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
139,3,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
140,3,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
141,3,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
142,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
143,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
144,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
145,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
146,3,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
147,4,c1948_Andropogon,c1950_Andropogon,"""="""
148,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
149,4,c1948_A_capillipes,c1950_A_capillipes,"""="""
150,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
151,4,c1948_A_glomeratus,c1950_Andropogon,"""<"""
152,4,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
153,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
154,4,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
155,4,c1948_A_virginicus,c1950_Andropogon,"""<"""
156,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
157,4,c1948_A_capillipes,c1950_Andropogon,"""<"""
158,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
159,4,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
160,4,c1948_Andropogon,c1950_A_glomeratus,""">"""
161,4,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
162,4,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
163,4,c1948_Andropogon,c1950_A_capillipes,""">"""
164,4,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
165,4,c1948_Andropogon,c1950_A_virginicus,""">"""
166,4,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
167,4,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
168,4,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
169,4,c1948_A_virginicus,c1950_A_virginicus,"""><"""
170,4,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
171,4,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
172,4,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
173,4,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
174,4,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
175,4,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
176,4,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
177,4,c1948_A_capillipes,c1950_A_virginicus,"""!"""
178,4,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
179,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
180,4,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
181,4,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
182,4,c1948_A_virginicus,c1950_A_capillipes,"""!"""
183,4,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
184,4,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
185,4,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
186,4,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
187,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
188,4,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
189,4,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
190,4,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""!"""
191,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
192,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
193,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
194,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
195,4,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
196,5,c1948_Andropogon,c1950_Andropogon,"""="""
197,5,c1948_A_capillipes,c1950_A_capillipes,"""="""
198,5,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""="""
199,5,c1948_A_glomeratus,c1950_Andropogon,"""<"""
200,5,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
201,5,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
202,5,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
203,5,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""<"""
204,5,c1948_A_virginicus,c1950_Andropogon,"""<"""
205,5,c1948_A_capillipes,c1950_Andropogon,"""<"""
206,5,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
207,5,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
208,5,c1948_Andropogon,c1950_A_glomeratus,""">"""
209,5,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
210,5,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
211,5,c1948_Andropogon,c1950_A_capillipes,""">"""
212,5,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
213,5,c1948_Andropogon,c1950_A_virginicus,""">"""
214,5,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
215,5,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,""">"""
216,5,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,""">"""
217,5,c1948_A_virginicus,c1950_A_virginicus,"""><"""
218,5,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
219,5,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
220,5,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
221,5,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""!"""
222,5,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
223,5,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
224,5,c1948_A_capillipes,c1950_A_virginicus,"""!"""
225,5,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
226,5,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
